pmcid,title,year,model_score,is_rct,filename,status
12967033,Short communication: performance of beef cows fed Kernza intermediate wheatgrass straw mixed with alfalfa haylage.,2026,1.3955,True,PMC12967033.pdf,cached
13318364,The Kia Tīmata Pai Randomized Controlled Trial: ENRICH Early Childhood Teacher Training Improves Toddlers' Oral Language and Self-Regulation.,2026,3.0424,True,PMC13318364.pdf,cached
13323844,UK Medical Cannabis Registry: A Clinical Outcomes Analysis for Autism Spectrum Disorder.,2026,1.338,True,PMC13323844.pdf,cached
13322781,"Design, Development and Validation of a Training Package for Treating Procrastination in Students Based on Grounded Theory: A Mixed-Methods Approach.",2026,2.2682,True,PMC13322781.pdf,cached
13301256,Backrest Position and Outcome in Comatose Survivors of Out-of-Hospital Cardiac Arrest: Protocol for a Multi-Center Randomized Comparison Within the Danish Out-of-Hospital Cardiac Arrest (DANOHCA) Trial.,2026,3.1665,True,PMC13301256.pdf,cached
13314320,Reproducibility of Splanchnic Blood Flow Measured Using Phase-Contrast MRI.,2026,1.613,True,PMC13314320.pdf,cached
13291755,The Danish Out-of-Hospital Cardiac Arrest Trial: A Statistical Analysis Plan.,2026,3.1045,True,PMC13291755.pdf,cached
13269674,Differential Impact of Pharmacokinetic and Pharmacodynamic Variability on Response to Combination Therapy.,2026,1.2127,True,PMC13269674.pdf,cached
13238433,Trajectories and Adaptive Recalibration of Self-Efficacy in Brazilian Medical Students: A Longitudinal Study With Implications for Educational Support.,2026,1.2325,True,PMC13238433.pdf,cached
13324967,A Randomized Controlled Trial With an Internal Pilot of a Co-Designed App Targeting Upstream Suicide-Related Risk and Protective Factors Among International Students.,2026,4.581,True,PMC13324967.pdf,cached
13321136,"Time course of perceptual, cognitive, physical and physiological responses to a single non-sleep deep rest session in physically active young adults.",2026,2.3158,True,PMC13321136.pdf,cached
13291754,Dexamethasone Versus Placebo in Comatose Survivors of Out-of-Hospital Cardiac Arrest: Study Protocol for a Multicenter Randomized Comparison Within the Danish Out-of-Hospital Cardiac Arrest Trial (DANOHCA).,2026,4.4067,True,PMC13291754.pdf,cached
13291757,Prophylactic Olanzapine Versus Placebo in Comatose Survivors of Out-of-Hospital Cardiac Arrest: Protocol for a Multicenter Randomized Comparison Within the Danish Out-of-Hospital Cardiac Arrest (DANOHCA) Trial.,2026,4.4609,True,PMC13291757.pdf,cached
7619408,Using the Information-Motivation-Behavioral Framework to Promote Rational Medicine Use Among Breastfeeding Women: A Quasi-Experimental Intervention Study in Uganda.,2026,3.9179,True,PMC7619408.pdf,cached
13331402,The Effects of Neuromuscular Electrical Stimulation and Leap Motion-Based Exercises on Hand Function Parameters in Children With Cerebral Palsy: Study Protocol for a Randomized Controlled Trial.,2026,4.926,True,PMC13331402.pdf,cached
13330163,"Effectiveness of an educational intervention in enhancing parents' knowledge, perception, and acceptability of human papillomavirus vaccine.",2026,1.7488,True,PMC13330163.pdf,cached
13331400,Virtual Reality-Based Relaxation Training and Symptom Improvement Among Inpatients With Depressive Disorders: Retrospective Nonrandomized Comparative Study.,2026,1.6174,True,PMC13331400.pdf,cached
13330461,Comparative efficacy of double and triple arthrodesis in adult-acquired flatfoot deformity: a retrospective analysis.,2026,1.4865,True,PMC13330461.pdf,cached
13330939,Immediate effects of photobiomodulation with low-level laser followed by the voiced tongue trill technique in women with behavioral dysphonia.,2026,2.562,True,PMC13330939.pdf,cached
13331384,Impact of Perfusion With Methylene Blue on Perioperative Bleeding in Simultaneous Pancreas and Kidney Transplantation: A Randomized Control Trial.,2026,3.3793,True,PMC13331384.pdf,cached
13326578,Histological and Biochemical Assessment of Camel Milk in Protective and Therapeutic Aspirin-Induced Gastric and Liver Damage in Rabbits.,2026,2.3909,True,PMC13326578.pdf,cached
13331230,"Transcutaneous vagus nerve stimulation as add-on therapy versus pharmacotherapy alone (TRAVAST): study protocol for a prospective, randomised, triple-blind, controlled, multicentre trial.",2026,4.4967,True,PMC13331230.pdf,cached
13331151,Rehabilitation using virtual gaming for Hospital and hOMe-Based training for the Upper limb in acute and subacute Stroke (RHOMBUS II): a qualitative analysis of participants' experience.,2026,3.1444,True,PMC13331151.pdf,cached
13327151,Comparative effects of bioelectric and manual toothbrushing on acrylic denture teeth: Surface integrity and wear analysis.,2026,1.5888,True,PMC13327151.pdf,cached
13324886,Upper-limb physical activity after distal radius fractures treated operatively or nonoperatively: a secondary analysis of a multicenter randomized trial.,2026,3.2367,True,PMC13324886.pdf,cached
13322473,Should We Reconstruct Coronal Plane Fractures in Multifragmentary Pertrochanteric Fractures? A Randomized Controlled Trial.,2026,2.4793,True,PMC13322473.pdf,cached
13325541,Vitamin D Supplementation and Treatment-Free Survival in Early-Stage CLL: A Real-World Validation Study.,2026,1.1504,True,PMC13325541.pdf,cached
13327250,A pilot randomized trial on the usability and acceptability of an app (MyIBDDiet) to improve the self-management of anti-inflammatory diet for individuals with inflammatory bowel disease: A protocol paper.,2026,4.0596,True,PMC13327250.pdf,cached
13331036,Effectiveness of a Digital Screening and Navigation Model in Addressing Unmet Social Needs among Parents and Caregivers in Priority Population Groups: A Randomised Controlled Trial.,2026,3.0019,True,PMC13331036.pdf,cached
13330575,Education Research: Case-Based and Near-Peer Teaching on Functional Neurologic Disorder in the Neurology Clerkship: A Cross-Site Comparative Pilot Study.,2026,1.1981,True,PMC13330575.pdf,cached
13331111,Impact of vitamin D supplementation on preterm births and premature rupture of membranes: a study protocol for a double-blind randomised controlled trial.,2026,3.7509,True,PMC13331111.pdf,cached
13327263,"Toward evidence-based prescription of prosthetic ankle-foot devices: A multisite randomized crossover trial identifying performance-based, patient-reported, and biomechanical parameters sensitive to device type.",2026,2.5193,True,PMC13327263.pdf,cached
13322468,Early Brace Treatment: The New Standard for Adolescent Idiopathic Scoliosis?,2026,1.679,True,PMC13322468.pdf,cached
13327373,Experiences With Technology Among Adults Aging With HIV Engaged in an Online Community-Based Exercise Intervention Study: Longitudinal Qualitative Descriptive Study and Secondary Data Analysis.,2026,1.3781,True,PMC13327373.pdf,cached
13327370,Digital Simulation-Based Ultrasound Training for Physiotherapy Students: Prospective Randomized Controlled Trial.,2026,3.6734,True,PMC13327370.pdf,cached
13327246,Fascia iliaca compartment block for surgical analgesia in children with osteogenesis imperfecta: A retrospective cohort study.,2026,1.7656,True,PMC13327246.pdf,cached
13327202,"Short-term effects of alcohol detoxification on cardiovascular, hematological, and oxidative stress biomarkers: A prospective cohort study.",2026,1.5417,True,PMC13327202.pdf,cached
13315455,Effects of Quercetagetin on Gut-Liver Axis Function and Cecal Microbial Diversity in Broilers via PINK1/Parkin-Mediated Mitophagy.,2026,1.7815,True,PMC13315455.pdf,cached
13330428,"Psychological determinants of successful practical teaching: personality traits, self-efficacy, and subjective perception in a hands-on clinical skills course.",2026,1.6487,True,PMC13330428.pdf,cached
13327112,Protocol for the SACLA trial: Efficacy and safety of subretinal monteplase for submacular hemorrhage in a phase II single-arm multicenter decentralized clinical trial.,2026,4.3712,True,PMC13327112.pdf,cached
13325929,"A Stepped Care, Peer-Delivered Intervention to Improve Substance Use and HIV Medication Adherence in Primary Care in South Africa (Project &lt;i&gt;Khanya&lt;/i&gt;): Protocol for a Hybrid Type 2 Effectiveness-Implementation Randomized Controlled Trial.",2026,3.8996,True,PMC13325929.pdf,cached
13330850,Long-Term Implementation and Effectiveness of a Quality Improvement Intervention for Myocardial Infarction in Tanzania.,2026,2.3709,True,PMC13330850.pdf,cached
13331053,Cost-effectiveness of the sFlt-1/PlGF ratio and telemonitoring in managing suspected pre-eclampsia: protocol for the PREPARE II randomised controlled trial.,2026,2.7984,True,PMC13331053.pdf,cached
13327270,COMBINA: The EAAD four-level approach for depression and suicide prevention and wellbeing promotion in the community and vulnerable populations. A cross-country study protocol from the MENTBEST project.,2026,1.6452,True,PMC13327270.pdf,cached
13327242,User engagement in the tuberculosis treatment support tools intervention and its impact on treatment outcomes: A secondary analysis of a pragmatic trial.,2026,2.5211,True,PMC13327242.pdf,cached
13323640,Effect of Preoperative Opioid Consumption on Outcomes After Hip Arthroscopy for Femoroacetabular Impingement and Labral Tears: A Minimum 2-Year Follow-up Study.,2026,1.8926,True,PMC13323640.pdf,cached
13325542,"The Effect of Ketamine, Xylazine, and Ketamine/Xylazine Administration on SCN5A (Nav1.5) Gene Expression in Pigeons.",2026,2.1047,True,PMC13325542.pdf,cached
13321945,Baseline Neutrophil-to-Lymphocyte Ratio Predicts Overall Survival in PD-L1-positive Advanced Triple-negative Breast Cancer With Immune-checkpoint-inhibitor Treatment.,2026,1.1914,True,PMC13321945.pdf,cached
13323805,Direct Thrombectomy vs. Combined Treatment With Intravenous Thrombolysis in the Extended Time Window: A Target Trial Emulation.,2026,1.8526,True,PMC13323805.pdf,cached
13318447,Characteristics of short-term walking ability and cognitive function in patients with postoperative hip fractures classified by age group.,2026,1.4171,True,PMC13318447.pdf,cached
13320297,"Using Intervention Mapping to Develop, Implement, and Evaluate a Community Engaged Crime Reduction Intervention.",2026,1.5602,True,PMC13320297.pdf,cached
13319185,Effect of a cannabidiol-based mouthwash on dental enamel properties and biofilm control: an In situ study.,2026,1.5185,True,PMC13319185.pdf,cached
13322110,"Outcomes of Supplementation With β-Hydroxy-β-methylbutyrate, Arginine, and Glutamine During Carbon-ion Radiotherapy for Head and Neck Cancer: A Prospective Exploratory Study.",2026,1.2125,True,PMC13322110.pdf,cached
13296589,Home-Based Combined Activity and Cognitive Intervention for Post-Intensive Care Syndrome: A Pilot Randomised Controlled Trial.,2026,4.1583,True,PMC13296589.pdf,cached
13290652,Model-Informed Development of a Subcutaneous Formulation of Tislelizumab: Phase 1 Pharmacokinetics in Patients With Cancer.,2026,1.6364,True,PMC13290652.pdf,cached
13288018,A Quasi-Experimental Study of an Online Communication Partner Training Program for Orthoptic Students.,2026,1.4431,True,PMC13288018.pdf,cached
13286879,"A Phase 1, Open-Label, Randomized Study to Investigate the Pharmacokinetics and Safety of Multiple Doses of Intranasal Naloxone in Healthy Participants.",2026,3.9138,True,PMC13286879.pdf,cached
13280800,"Effect of Home-Based Multiple Micronutrient Powder Fortification on Haemoglobin Levels in Infants in Nampula, Mozambique: A Pragmatic Clinical Trial.",2026,4.2702,True,PMC13280800.pdf,cached
13273638,Comparative Effectiveness of Fixed and Standard RUTF Dosing Protocols for Treatment of Uncomplicated Severe Acute Malnutrition in Afghanistan.,2026,1.4702,True,PMC13273638.pdf,cached
13250610,An improved translational approach to studying persistence-strengthening effects of differential reinforcement of alternative behavior.,2026,1.6377,True,PMC13250610.pdf,cached
13240198,Natural Mineral Water (Hora) Supplementation Improves Growth Performance and Carcass Characteristics of Sheep in Ethiopia.,2026,2.0718,True,PMC13240198.pdf,cached
13169472,Efficacy of Active Exercises to Improve Range of Motion in Knee Joint After Total Knee Arthroplasty. A Randomized Controlled Trial.,2026,4.3479,True,PMC13169472.pdf,cached
13294787,Precision Medicine to Redefine Insulin Secretion and Monogenic Diabetes (PRISM): A Randomized Controlled Trial in Chinese Patients With Young-Onset Diabetes.,2026,4.3838,True,PMC13294787.pdf,cached
